NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Precious Achiuwa,Tor,F,22.32,29,24.4,50.8,17.3,10.8,51,0.569,199,0.432,35,0.257,0.425,0.445,7.9,7.5,16.7,1.4,8.1,0.62,0.59,1.07,7.1,99.9,102.6
,Steven Adams,Mem,C,28.48,40,25.6,53.4,12.7,20.5,115,0.6,198,0.53,0,0,0.53,0.561,7,9.4,19.4,3,15,0.83,0.58,1.6,9.1,121.5,104.9
,Bam Adebayo,Mia,C-F,24.49,18,32.9,68.5,25.8,15.3,112,0.759,242,0.521,1,0,0.519,0.577,18.7,10.2,17.2,3.2,15.9,1.11,0.33,2.94,10.3,111.2,97.1
,Santi Aldama,Mem,F-C,21.01,22,10.9,22.7,17.6,7.9,19,0.579,50,0.56,35,0.114,0.4,0.423,3.6,2.7,13,0.6,7.3,0.09,0.27,0.36,6.6,98.4,104.1
,LaMarcus Aldridge,Bro,C-F,36.49,29,22.9,47.6,22.2,7.1,52,0.846,258,0.593,35,0.343,0.584,0.611,13.3,5.6,13,0.8,5.7,0.38,1.1,0.83,6.8,119.4,104.3
,Nickeil Alexander-Walker,Nor,G,23.36,38,27.1,56.5,24.9,10.5,65,0.708,257,0.424,250,0.316,0.449,0.468,13.2,3.5,7,2.6,15.8,0.89,0.32,1.66,7.3,95.5,110
,Grayson Allen,Mil,G,26.26,36,28.4,59.2,16.6,5.8,41,0.854,103,0.476,252,0.389,0.552,0.572,11.9,3.4,6.2,1.3,6.7,0.78,0.39,0.64,5.3,115,107.9
,Jarrett Allen,Cle,C,23.73,34,32.7,68,18.2,13.4,146,0.705,328,0.713,8,0.125,0.701,0.717,16.9,10.9,18,1.8,9.1,0.91,1.5,1.82,8.5,133.8,100.6
,Jose Alvarado,Nor,G,23.75,14,7.2,15,15.2,5.6,11,0.636,13,0.231,16,0.313,0.362,0.414,2,0.6,4.9,1.1,22.1,0.57,0.07,0.14,6.1,107.5,102.3
,Justin Anderson,Cle,F-G,28.15,3,15.5,32.4,11,17,4,0.75,2,1,6,0.333,0.625,0.666,4.3,2,6.9,2,17.4,0.33,0,0.67,6.7,125.9,101
,Justin Anderson,Ind,F-G,28.15,3,10.1,21,19.2,7.5,3,1,2,0.5,9,0.111,0.227,0.325,2.7,1.3,7.3,1,13,0.33,0.33,0.33,6,86.2,98.1
,Kyle Anderson,Mem,F-G,28.31,35,22.6,47.1,16.9,11.5,55,0.673,189,0.476,71,0.338,0.485,0.508,8.3,5.3,12.4,2.7,16.1,1.11,0.6,1.06,8.7,108.1,103.6
,Giannis Antetokounmpo,Mil,F,27.1,34,32.5,67.7,34.8,12.7,357,0.7,493,0.611,134,0.284,0.571,0.616,28.4,11.4,18.4,6,34.4,1.06,1.44,3.35,15.4,120.2,96.8
