Player,G,MP,FGA,3PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
Trae Young,246.0,8209.0,4477.0,1771.0,1818.0,161.0,806.0,2197.0,231.0,39.0,1032.0,424.0
John Collins,280.0,8143.0,3238.0,689.0,954.0,704.0,1639.0,440.0,160.0,293.0,432.0,876.0
Delon Wright,348.0,7629.0,2177.0,708.0,584.0,293.0,883.0,1132.0,411.0,134.0,365.0,412.0
Kevin Huerter,239.0,7070.0,2383.0,1267.0,215.0,150.0,687.0,781.0,218.0,81.0,327.0,537.0
Clint Capela,346.0,10131.0,3398.0,2.0,1125.0,1334.0,2767.0,378.0,244.0,574.0,442.0,872.0
Danilo Gallinari,301.0,8751.0,3469.0,1650.0,1434.0,173.0,1358.0,601.0,188.0,70.0,349.0,484.0
Lou Williams,398.0,10322.0,5256.0,1811.0,1992.0,168.0,843.0,1703.0,329.0,70.0,891.0,452.0
Gorgui Dieng,370.0,6974.0,2037.0,428.0,566.0,534.0,1380.0,450.0,267.0,262.0,332.0,760.0
Timothé Luwawu-Cabarrot,307.0,4999.0,1589.0,916.0,366.0,115.0,505.0,278.0,125.0,39.0,225.0,575.0
Bogdan Bogdanović,281.0,7996.0,3267.0,1650.0,476.0,126.0,812.0,951.0,277.0,65.0,425.0,599.0
De'Andre Hunter,104.0,3224.0,1127.0,473.0,269.0,68.0,388.0,174.0,76.0,40.0,157.0,290.0
Skylar Mays,51.0,454.0,158.0,65.0,32.0,15.0,44.0,44.0,21.0,2.0,15.0,21.0
Onyeka Okongwu,64.0,938.0,219.0,3.0,93.0,96.0,154.0,34.0,32.0,58.0,47.0,148.0
Jalen Johnson,11.0,52.0,17.0,6.0,6.0,0.0,13.0,1.0,0.0,0.0,2.0,3.0
Sharife Cooper,10.0,35.0,14.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,1.0
Kevin Knox,198.0,3929.0,1508.0,687.0,357.0,107.0,499.0,166.0,81.0,59.0,182.0,325.0
Jayson Tatum,333.0,11069.0,5343.0,1871.0,1416.0,286.0,1903.0,943.0,376.0,236.0,693.0,705.0
Grant Williams,175.0,3162.0,673.0,372.0,150.0,138.0,360.0,176.0,83.0,88.0,139.0,415.0
Dennis Schröder,392.0,12122.0,5715.0,1627.0,1362.0,198.0,1130.0,2043.0,364.0,64.0,1033.0,889.0
Marcus Smart,360.0,11038.0,3421.0,1791.0,927.0,280.0,995.0,1715.0,590.0,148.0,691.0,912.0
Al Horford,342.0,10386.0,3697.0,1268.0,517.0,510.0,1874.0,1462.0,255.0,389.0,499.0,677.0
Payton Pritchard,104.0,1774.0,601.0,365.0,53.0,45.0,180.0,186.0,44.0,13.0,79.0,138.0
Robert Williams,150.0,2748.0,614.0,2.0,183.0,343.0,565.0,198.0,104.0,244.0,130.0,272.0
Romeo Langford,87.0,1312.0,302.0,118.0,65.0,56.0,119.0,44.0,35.0,28.0,36.0,99.0
Josh Richardson,357.0,11230.0,3971.0,1662.0,759.0,272.0,910.0,1039.0,403.0,225.0,530.0,866.0
Jaylen Brown,371.0,10519.0,4666.0,1729.0,1218.0,337.0,1475.0,694.0,349.0,142.0,674.0,935.0
Aaron Nesmith,78.0,1004.0,282.0,176.0,41.0,36.0,147.0,34.0,25.0,11.0,42.0,128.0
Enes Freedom,371.0,8127.0,3130.0,89.0,955.0,1229.0,2061.0,434.0,160.0,204.0,514.0,814.0
Bruno Fernando,103.0,977.0,249.0,39.0,76.0,86.0,198.0,60.0,22.0,22.0,68.0,135.0
Sam Hauser,7.0,31.0,11.0,11.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0
Brodric Thomas,39.0,427.0,117.0,65.0,48.0,10.0,48.0,35.0,15.0,10.0,25.0,41.0
Bol Bol,52.0,328.0,113.0,37.0,28.0,9.0,54.0,18.0,6.0,18.0,27.0,29.0
PJ Dozier,105.0,1894.0,634.0,254.0,110.0,65.0,253.0,189.0,58.0,34.0,87.0,167.0
Darius Garland,155.0,5078.0,2177.0,848.0,308.0,73.0,306.0,902.0,161.0,14.0,472.0,276.0
Jarrett Allen,325.0,8562.0,2295.0,93.0,1156.0,883.0,1918.0,450.0,176.0,446.0,438.0,661.0
Evan Mobley,40.0,1376.0,484.0,56.0,132.0,73.0,254.0,106.0,30.0,66.0,78.0,80.0
Kevin Love,262.0,7393.0,3254.0,1658.0,1077.0,395.0,2077.0,594.0,163.0,79.0,482.0,453.0
Lauri Markkanen,259.0,7659.0,3200.0,1571.0,679.0,289.0,1472.0,329.0,173.0,132.0,332.0,464.0
Cedi Osman,297.0,7338.0,2536.0,1304.0,479.0,156.0,841.0,624.0,223.0,47.0,347.0,617.0
Ricky Rubio,387.0,11380.0,3808.0,1327.0,1246.0,234.0,1333.0,2736.0,581.0,53.0,956.0,969.0
Isaac Okoro,100.0,3110.0,799.0,306.0,236.0,105.0,212.0,186.0,89.0,34.0,124.0,268.0
Dean Wade,108.0,1908.0,461.0,305.0,60.0,65.0,275.0,111.0,55.0,28.0,45.0,135.0
Lamar Stevens,72.0,984.0,285.0,65.0,76.0,48.0,123.0,46.0,29.0,20.0,41.0,100.0
Dylan Windler,63.0,848.0,204.0,130.0,36.0,32.0,135.0,58.0,27.0,14.0,45.0,73.0
Kevin Pangos,20.0,161.0,45.0,26.0,4.0,2.0,9.0,30.0,3.0,0.0,7.0,10.0
Ed Davis,270.0,4439.0,840.0,3.0,388.0,583.0,1193.0,163.0,109.0,136.0,190.0,690.0
Collin Sexton,218.0,7179.0,3548.0,860.0,944.0,189.0,474.0,720.0,181.0,23.0,541.0,510.0
Brandon Goodwin,106.0,1243.0,487.0,211.0,94.0,26.0,139.0,189.0,38.0,4.0,74.0,102.0
RJ Nembhard Jr.,6.0,42.0,11.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,1.0,2.0
Rajon Rondo,295.0,7043.0,2129.0,686.0,198.0,190.0,988.0,1884.0,319.0,39.0,660.0,507.0
Garrett Temple,367.0,9503.0,2605.0,1445.0,428.0,166.0,883.0,731.0,342.0,161.0,382.0,783.0
Jonas Valančiūnas,381.0,9843.0,3985.0,375.0,1187.0,1127.0,2791.0,558.0,172.0,356.0,643.0,1055.0
Devonte' Graham,207.0,5895.0,2387.0,1548.0,524.0,94.0,440.0,1081.0,177.0,31.0,363.0,301.0
Nickeil Alexander-Walker,136.0,2746.0,1275.0,619.0,180.0,56.0,316.0,305.0,100.0,44.0,190.0,221.0
Herbert Jones,43.0,1259.0,304.0,73.0,76.0,51.0,108.0,82.0,63.0,41.0,45.0,133.0
Josh Hart,279.0,7510.0,2062.0,1132.0,515.0,241.0,1352.0,547.0,248.0,102.0,302.0,636.0
Brandon Ingram,349.0,11449.0,5037.0,1313.0,1671.0,271.0,1524.0,1293.0,248.0,196.0,832.0,845.0
Trey Murphy III,36.0,459.0,134.0,97.0,17.0,25.0,51.0,20.0,11.0,5.0,11.0,34.0
Jaxson Hayes,158.0,2523.0,688.0,34.0,390.0,234.0,402.0,103.0,63.0,117.0,115.0,330.0
Tomáš Satoranský,364.0,8173.0,2044.0,647.0,514.0,303.0,751.0,1473.0,294.0,56.0,490.0,619.0
Kira Lewis Jr.,78.0,1245.0,483.0,178.0,63.0,21.0,89.0,173.0,49.0,11.0,60.0,105.0
Naji Marshall,55.0,920.0,279.0,111.0,104.0,29.0,175.0,108.0,35.0,13.0,58.0,80.0
Willy Hernangómez,278.0,4194.0,1456.0,101.0,562.0,564.0,1054.0,296.0,115.0,107.0,277.0,452.0
Jose Alvarado,19.0,178.0,59.0,28.0,15.0,6.0,12.0,29.0,19.0,1.0,4.0,20.0
Gary Clark,146.0,2009.0,454.0,389.0,31.0,101.0,272.0,71.0,42.0,57.0,38.0,131.0
Didi Louzada,5.0,63.0,16.0,11.0,0.0,3.0,2.0,4.0,2.0,0.0,3.0,5.0
Zion Williamson,85.0,2694.0,1397.0,48.0,707.0,231.0,360.0,276.0,73.0,48.0,226.0,177.0
DeMar DeRozan,402.0,13854.0,7044.0,640.0,2870.0,300.0,1706.0,2184.0,409.0,121.0,929.0,863.0
Ayo Dosunmu,42.0,944.0,233.0,82.0,43.0,16.0,91.0,81.0,22.0,17.0,48.0,83.0
Zach LaVine,291.0,10022.0,5239.0,1997.0,1436.0,157.0,1157.0,1195.0,284.0,109.0,863.0,629.0
Nikola Vučević,383.0,11998.0,6271.0,1438.0,862.0,866.0,3326.0,1333.0,372.0,367.0,665.0,843.0
Lonzo Ball,252.0,8187.0,2790.0,1633.0,287.0,262.0,1185.0,1563.0,391.0,162.0,637.0,547.0
